report_schema_version,analysis_schema_version,analysis_mode,study_signature,profile,analysis_tier,family_name,multiplicity_method,family_size,tested_family_size,pair_type,channel,baseline_condition,baseline_channel,treatment_condition,treatment_channel,metric,metric_class,planned_pairs,pair_usable_pairs,n_pairs,endpoint_missing_pairs,baseline_mean,treatment_mean,baseline_median,treatment_median,mean_delta,median_delta,bootstrap_ci_low,bootstrap_ci_high,increased,unchanged,decreased,increased_fraction,unchanged_fraction,decreased_fraction,mean_log1p_delta,median_log1p_delta,sign_flip_p,bh_adjusted_q,alpha,unadjusted_reject,adjusted_reject,bootstrap_replicates,bootstrap_seed,sign_flip_replicates,sign_flip_seed
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,prompt_tokens,process_resource,70,67,67,0,3142982.5074626864,2771690.0,1722542.0,1776384.0,-371292.50746268657,-65188.0,-839092.3656716418,91081.03955223878,28,0,39,0.417910447761194,0.0,0.582089552238806,-0.0870401214415641,-0.06070194051458877,0.13363866361336388,0.5122815438512281,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,completion_tokens,process_resource,70,67,67,0,27396.537313432837,31989.298507462685,20824.0,21615.0,4592.761194029851,1285.0,825.7044776119404,9185.294776119401,41,0,26,0.6119402985074627,0.0,0.3880597014925373,0.12605194767433728,0.09129346118331938,0.023359766402335978,0.2686373136268637,0.05,1,0,10000,20260824,100000,20260824
1.0,2.7,resource,857af292f805a4c3,claude,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,duration_seconds,process_resource,70,67,67,0,897.0952890597015,1029.2841853880598,702.759865,865.019781,132.18889632835823,99.61533400000002,70.27241575559701,204.83044746194022,49,0,18,0.7313432835820896,0.0,0.26865671641791045,0.14099978555911394,0.11928911138697806,3.999960000399996e-05,0.0009199908000919991,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,repo_search_calls,action_intensity,70,70,70,0,12.4,5.828571428571428,12.0,4.5,-6.571428571428571,-6.5,-8.142857142857142,-4.928571428571429,5,1,64,0.07142857142857142,0.014285714285714285,0.9142857142857143,,,9.99990000099999e-06,2.8749712502874973e-05,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,file_read_calls,action_intensity,70,70,70,0,10.257142857142858,3.6857142857142855,9.0,3.0,-6.571428571428571,-6.5,-8.100357142857142,-5.057142857142857,9,2,59,0.12857142857142856,0.02857142857142857,0.8428571428571429,,,9.99990000099999e-06,2.8749712502874973e-05,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,unique_files_read,action_intensity,70,70,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,0,0.0,1.0,0.0,,,1.0,1.0,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,unique_dirs_read,action_intensity,70,70,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,0,0.0,1.0,0.0,,,1.0,1.0,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,test_files_inspected,action_intensity,70,70,70,0,0.5428571428571428,0.8142857142857143,0.0,0.0,0.2714285714285714,0.0,-0.11428571428571428,0.6857142857142857,17,39,14,0.24285714285714285,0.5571428571428572,0.2,,,0.22376776232237677,0.3216661583384166,0.05,0,0,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,spec_config_files_inspected,action_intensity,70,70,70,0,1.7571428571428571,0.5,1.0,0.0,-1.2571428571428571,-1.0,-1.7142857142857142,-0.8428571428571429,1,21,48,0.014285714285714285,0.3,0.6857142857142857,,,9.99990000099999e-06,2.8749712502874973e-05,0.05,1,1,10000,20260824,100000,20260824
1.0,2.7,resource,80b3694e1af29095,codex,secondary_exploratory,resource_secondary_behavior_process_bh,benjamini_hochberg,23,23,resource_effect,scaffold,eval_only,scaffold,eval_resource_deprivation,scaffold,edit_calls,action_intensity,70,70,70,0,3.1857142857142855,2.3857142857142857,2.5,2.0,-0.8,0.0,-1.4714285714285715,-0.17142857142857143,22,14,34,0.3142857142857143,0.2,0.4857142857142857,,,0.02104978950210498,0.03724193527295496,0.05,1,1,10000,20260824,100000,20260824
